"ID","filler","fillerlog","non","nonlog","prev","prevlog","promo","promolog","cond","Age","Gender","RFSpro2","RFSpro3","RFSpro4","RFSpro5","RFSpre1","RFSpre2","RFSpre3","RFSpre5","RFBpro2","RFBpro3","RFBpro4","RFBpro5","RFBpre1","RFBpre2","RFBpre3","RFBpre5","RFQpro1r","RFQpro2","RFQpro3","RFQpro4r","RFQpro5","RFQpro6r","RFQpre1r","RFQpre2r","RFQpre3","RFQpre4r","RFQpre5r"
670,683.15,6.498059965,749.5263158,6.58938964,749.9,6.579402884,654.4444444,6.466341041,"friend",NA,NA,1,1,6,1,2,2,2,2,7,5,6,7,4,5,3,7,3,4,5,4,4,4,5,5,1,5,5
775,546.5789474,6.280538376,579.5263158,6.34210542,524.3,6.255094177,522.6,6.254008635,"friend",19,2,6,5,5,6,6,5,7,6,5,3,5,3,1,4,5,2,3,4,2,4,4,2,4,3,4,4,2
776,708.9473684,6.546768022,816.975,6.684811491,724.1111111,6.574096881,733.8888889,6.582400037,"student",19,1,6,6,5,5,6,6,5,5,6,6,6,2,3,6,5,3,2,4,6,4,4,1,2,4,3,4,2
777,665.0526316,6.472356326,659.1666667,6.472144578,628,6.429355484,657.5,6.477893377,"student",19,1,6,5,6,6,7,7,6,6,6,6,5,5,6,6,6,6,4,5,4,5,5,5,3,2,5,4,4
778,748.2777778,6.596740058,781.15,6.63988153,683.7,6.507322355,649.2222222,6.456585023,"friend",20,2,7,6,6,6,6,6,5,6,7,5,6,4,5,5,6,6,1,4,5,2,4,1,3,3,4,2,4
779,801.4,6.668425808,908.7941176,6.796819007,775.7777778,6.624518921,694.6666667,6.533217985,"student",19,2,5,4,6,5,2,6,6,5,4,4,4,4,2,2,2,2,2,2,5,2,5,1,1,3,4,5,2
781,632.4210526,6.437409741,705.6578947,6.538386697,622,6.415589825,639.3,6.43065795,"student",19,1,6,7,7,7,5,6,6,7,6,7,6,7,3,6,7,6,1,5,4,1,5,1,2,1,4,1,2
782,587.6315789,6.34568928,580.5384615,6.349296971,564.7,6.322653254,522.7777778,6.254686845,"friend",18,2,6,4,6,5,6,5,4,5,6,5,5,4,4,5,5,4,4,4,3,3,4,3,3,3,5,4,4
783,647.7058824,6.443974507,763.9189189,6.622468901,735,6.56852061,588.8,6.368551871,"friend",20,2,6,6,6,6,5,5,6,6,6,6,6,6,2,2,6,6,1,4,2,3,4,3,1,2,4,2,2
784,542.9411765,6.285994587,546.7692308,6.296588244,560.6,6.306914403,512.4,6.235482998,"friend",19,2,5,4,4,4,6,5,4,3,5,5,4,4,3,6,3,5,2,2,4,2,2,4,2,4,5,4,3
785,742.8,6.582759693,833.9428571,6.704505096,770.4444444,6.610427649,786.2,6.635062973,"friend",18,2,7,6,5,6,5,4,7,7,7,7,5,7,7,6,7,7,4,5,2,5,4,1,5,4,3,4,4
786,680.95,6.495160646,898.0333333,6.769889492,650,6.458740835,708,6.514822777,"student",18,2,5,6,6,6,6,6,6,5,6,5,5,4,4,5,4,6,3,4,4,3,4,4,1,1,5,2,2
787,704.5882353,6.55134985,881.972973,6.761133106,796.1111111,6.632244917,673.4444444,6.509722476,"friend",20,2,7,7,7,7,7,7,7,7,7,7,7,7,2,6,7,7,2,4,5,5,4,1,2,2,4,2,5
789,608.9,6.397826398,650.725,6.464813802,583,6.362377254,611.1,6.409038009,"student",19,2,6,3,5,7,7,7,5,5,7,7,5,6,5,6,5,5,2,3,4,5,4,2,2,4,4,4,4
792,617.1,6.386448041,627.6315789,6.415337195,597.2,6.384304054,599.1,6.371239179,"student",18,2,7,7,6,7,6,6,7,7,5,3,5,4,4,5,3,5,2,4,4,3,4,4,4,4,4,5,4
793,625.2,6.431721542,655.7692308,6.471805948,607.5,6.407583022,636.2,6.452519141,"student",19,2,4,7,5,5,7,5,7,6,6,6,7,6,6,6,5,6,2,5,4,2,5,4,4,3,4,4,4
794,596.4,6.38114484,638.225,6.434856089,553.8,6.306970432,580.3,6.347949473,"student",20,2,4,6,1,7,7,7,7,7,5,7,2,3,7,7,6,6,3,1,1,5,1,5,4,4,3,4,4
795,695.6842105,6.491407491,700.6470588,6.522384995,662.1,6.472941001,597,6.378064465,"friend",20,1,6,6,6,6,6,6,6,6,7,5,6,6,3,6,5,6,1,5,5,5,1,4,5,5,2,5,5
796,730.7894737,6.553743959,810.6216216,6.672575901,743.7777778,6.565361363,646.2,6.458935407,"friend",23,1,6,5,5,6,6,5,6,5,4,2,4,2,2,2,5,4,1,3,5,4,4,2,4,4,2,2,3
797,703.8947368,6.528775175,932.6206897,6.810365,801.4,6.646888257,619.2222222,6.410868876,"friend",18,2,4,3,4,4,5,3,4,5,5,5,6,5,3,5,5,6,2,4,4,4,4,2,3,2,4,4,3
799,678,6.502360394,753.15,6.611954909,652.7,6.462333178,706.7,6.548094009,"friend",18,2,5,6,6,6,6,6,6,6,5,6,6,2,3,6,5,6,1,5,4,2,5,4,4,1,5,3,3
800,639.6842105,6.427715362,798.7647059,6.655614606,828.2222222,6.647355662,558.6,6.311730782,"student",19,2,6,6,6,7,7,5,6,6,5,5,6,5,4,6,6,5,2,5,5,4,4,1,2,2,4,2,4
801,618.3888889,6.421140554,662.6923077,6.482663291,630.8,6.427734141,599.5,6.393125538,"student",20,1,5,6,6,6,5,4,6,6,2,1,4,4,1,4,1,1,3,2,4,5,3,4,2,2,4,2,4
