"Pnum","age","gender","trait","sa1","sa2","rfapro2","rfapro3","rfapro4","rfapro5","rfapre1","rfapre2","rfapre3","rfapre5","central.sa1","rfbpro2","rfbpro3","rfbpro4","rfbpro5","rfbpre1","rfbpre2","rfbpre3","rfbpre5","central.sa2","RFQpro1r","RFQpro2","RFQpro3","RFQpro4r","RFQpro5","RFQpro6r","RFQpre1r","RFQpre2r","RFQpre3","RFQpre4r","RFQpre5r"
76,21,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,NA,NA,"I'm funny","an improviser","a rush chair",7,7,7,7,2,5,6,2,7,7,1,7,7,6,7,6,7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,19,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,18,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156,18,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
179,18,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
217,18,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
244,19,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
331,22,1,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,4,2,5,3,2,2,4,2,2
332,18,2,"hard-working","a student","a friend",5,6,6,6,6,6,6,6,6,7,7,7,6,6,3,7,7,7,3,3,4,5,4,4,2,1,2,3,5
333,18,2,"skeptical","citizen","friend",4,4,4,4,2,4,4,4,6,5,5,5,5,5,5,5,6,6,1,5,5,2,4,1,1,1,5,1,1
334,18,2,"diligence","a daughter","a student",5,7,5,5,5,6,7,6,7,3,7,3,6,7,7,7,7,7,3,5,5,5,5,1,1,4,5,5,5
335,20,1,"","daughter","friend",6,5,6,4,2,5,5,5,4,6,6,6,5,6,4,5,6,5,1,4,4,3,4,1,1,3,4,3,2
336,21,2,"loyal","friend","daughter",6,4,7,5,2,2,6,4,7,6,4,6,3,5,5,5,4,3,3,4,4,2,4,2,2,2,4,2,3
337,18,1,"a good listener","a friend","a student",7,5,5,6,5,5,6,5,7,7,6,5,6,6,6,5,5,7,3,4,5,2,4,1,1,2,5,1,2
338,18,2,"courageous","student","basketball player",2,2,6,4,1,3,4,6,5,1,1,4,1,5,2,6,1,5,2,4,5,1,4,2,1,2,5,2,1
