"id","cond","rfapro2","rfapro3","rfapro4","rfapro5","rfapre1","rfapre2","rfapre3","rfapre5","rfbpro2","rfbpro3","rfbpro4","rfbpro5","rfbpre1","rfbpre2","rfbpre3","rfbpre5","RFQpro1r","RFQpre1r","RFQpro2","RFQpre2r","RFQpre3","RFQpre4r","RFQpro3","RFQpre5r","RFQpro4r","RFQpro5","RFQpro6r","strategies_1_TEXT","strategies_2_TEXT","strategies_3_TEXT","strategies_4_TEXT","strategies_5_TEXT","strategies_6_TEXT","strategies_7_TEXT","strategies_8_TEXT","strategies_9_TEXT","strategies_10_TEXT","ideal","growth","idealself","attain","eager","pursueopp","desirable","ought","security","oughtself","maintain","cautious","vigilant","missopp","mistake","feasible","happy","disappoint","satis","low","sad","discourage","tense","agit","calm","onedge","uneasy","relax","stratpro1_1","stratpro1_2","stratpro1_3","stratpro1_4","stratpro1_5","stratpro1_6","stratpro1_7","stratpro1_8","stratpro1_9","stratpro1_10","stratpre1_1","stratpre1_2","stratpre1_3","stratpre1_4","stratpre1_5","stratpre1_6","stratpre1_7","stratpre1_8","stratpre1_9","stratpre1_10","stratpro2_1","stratpro2_2","stratpro2_3","stratpro2_4","stratpro2_5","stratpro2_6","stratpro2_7","stratpro2_8","stratpro2_9","stratpro2_10","stratpre2_1","stratpre2_2","stratpre2_3","stratpre2_4","stratpre2_5","stratpre2_6","stratpre2_7","stratpre2_8","stratpre2_9","stratpre2_10","strat.feas_1","strat.feas_2","strat.feas_3","strat.feas_4","strat.feas_5","strat.feas_6","strat.feas_7","strat.feas_8","strat.feas_9","strat.feas_10","counter1_1_TEXT","counter1_2_TEXT","counter1_3_TEXT","counter1_4_TEXT","counter1_5_TEXT","counter1_6_TEXT","counter1_7_TEXT","counter1_8_TEXT","counter1_9_TEXT","counter1_10_TEXT","counter2_1","counter2_2","counter2_3","counter2_4","counter2_5","counter2_6","counter2_7","counter2_8","counter2_9","counter2_10","age","gender"
1,"1",6,7,6,7,6,7,6,6,5,6,6,5,2,3,5,6,2,2,3,2,1,1,4,3,2,5,1,"Studious in my studies","Determined to finish work by the deadline","Set high yet realistic goals","Ask for help when I need it","Research solutions to problems first instead of simply asking someone of the answer","","","","","",5,4,5,5,4,4,5,4,5,4,5,3,3,3,4,3,5,7,4,5,5,6,5,5,6,2,2,5,4,5,4,3,4,NA,NA,NA,NA,NA,5,3,4,4,4,NA,NA,NA,NA,NA,4,5,5,NA,3,4,NA,NA,NA,NA,4,4,5,3,4,NA,NA,NA,NA,NA,2,1,1,2,2,NA,NA,NA,NA,NA,"went to a less expensive school","applied for the scholarships","found an alternative way to help pay for school","","","","","",NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,19,2
2,"2",3,5,5,4,5,5,6,5,7,5,5,5,2,3,6,3,4,4,4,3,4,4,4,4,3,4,3,"Find inspiration from my virtual instruments","Find inspiration from my surroundings/environment, whether it is sound or material","Improvisation","","","","","","","",4,5,3,4,5,3,4,4,5,2,4,3,3,3,4,2,2,7,1,4,6,8,5,8,5,5,6,4,4,3,5,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,2,4,4,NA,NA,NA,NA,NA,NA,NA,3,4,3,NA,NA,NA,NA,NA,NA,NA,3,5,3,NA,NA,NA,NA,NA,NA,NA,"had professional training.","had better equipment - speakers, instruments, softwares, etc.","was not on a time constraint","was a ""natural"" and had an ear like some of the others.","","","","",NA,NA,2,2,2,2,NA,NA,NA,NA,NA,NA,20,1
3,"2",6,4,6,4,6,7,6,6,5,5,7,7,3,3,6,5,1,2,4,2,5,2,5,3,2,5,1,"Be thoughtful","Go out of my way to spend time together","express feelings openly","be honest","have fun","laugh a lot","","","","",5,4,5,3,4,3,2,5,4,5,5,1,2,2,3,2,1,9,2,8,7,5,9,8,2,9,7,1,5,5,4,4,5,5,NA,NA,NA,NA,4,4,5,5,3,3,NA,NA,NA,NA,5,5,5,5,3,3,NA,NA,NA,NA,2,2,3,3,4,4,NA,NA,NA,NA,6,3,2,2,6,6,NA,NA,NA,NA,"thought before I spoke.","had let go of the things that were causing me stress.","appreciated my partner more.","","","","","",NA,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,21,2
4,"1",2,6,5,5,6,6,6,6,6,6,6,6,2,3,6,6,2,4,4,4,2,4,4,4,2,4,4,"exercise","sleep","meditate","watch TV","alcohol","light a candle","do some stretches","push ups","alternate tasks","get away from Evanston as much as possible",5,4,4,3,3,3,4,4,4,4,4,2,3,4,3,4,2,6,2,7,6,8,9,9,3,8,8,3,5,5,2,4,4,4,2,5,3,5,5,5,2,4,4,4,2,5,4,5,5,3,4,2,2,2,4,4,3,3,2,2,2,2,2,2,2,2,2,5,1,6,6,2,2,6,3,1,4,1,"there was nothing else I could have done differently. I worked my ass off, studied with smart kids, and went to office hours. It was just a lost cause.","","","","","","","",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,1
5,"2",6,7,6,6,3,7,6,7,7,7,7,7,3,3,7,7,1,4,4,4,4,4,4,2,1,5,1,"pray for every resident","make door decs that reveal God in some way","get to know residents","building community","","","","","","",5,5,5,5,5,4,2,4,3,3,4,4,4,3,3,2,1,6,1,7,7,7,1,1,1,1,7,1,5,5,5,5,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,5,2,2,2,NA,NA,NA,NA,NA,NA,2,1,6,7,NA,NA,NA,NA,NA,NA,"stopped to check in with her","was more available to her","checkedf in with her later that day","","","","","",NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,21,2
6,"1",7,3,7,5,5,5,7,5,7,6,7,6,4,7,7,6,3,2,5,2,5,4,4,4,2,5,2,"try to imagine what problems he is going through in class/work/home","use what i've learned in my experiences to help cheer him up","watch and listen to the movies and music he recommends to me","","","","","","","",5,4,5,5,3,3,3,5,4,5,5,4,3,4,4,4,1,2,1,9,9,9,6,2,3,3,7,1,5,4,5,NA,NA,NA,NA,NA,NA,NA,4,4,4,NA,NA,NA,NA,NA,NA,NA,5,3,5,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,NA,NA,7,6,2,NA,NA,NA,NA,NA,NA,NA,"has asked him more about his day","had talked less about my accomplishments","lived closer to him","","","","","",NA,NA,1,2,2,NA,NA,NA,NA,NA,NA,NA,20,2
7,"1",6,5,6,5,2,5,6,5,5,5,6,5,6,5,7,5,3,2,4,2,4,3,4,4,2,5,2,"I make it a point to try new food","I try to explore the culture of the new place I'm in by going to cultural sites","I try to get to know the people by interacting with the locals","I try to wander around streets and not have too much planned","I take the opportunity to go to new places and engage in activities specialized to that location","","","","","",4,5,4,5,3,4,4,4,2,4,4,4,2,4,3,4,3,6,2,6,5,7,8,5,2,8,6,2,5,5,5,5,5,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,4,5,4,5,5,NA,NA,NA,NA,NA,2,2,2,2,2,NA,NA,NA,NA,NA,1,2,3,3,4,NA,NA,NA,NA,NA,"had stepped out of my comfort zone","hadn't been too on-edge and tense","had more confidence and less fear","","","","","",NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,18,2
8,"2",6,3,7,4,2,5,5,5,3,5,5,5,5,4,3,6,1,4,5,2,4,5,4,4,2,5,1,"prioritize tasks","do higher priority tasks first","schedule my time","consider all sides of an issue","limit wasteful/superfluous tasks","think of ways to do things efficiently","","","","",5,2,2,3,1,3,1,4,4,3,2,1,2,2,1,3,3,6,4,4,2,2,7,7,5,7,6,5,5,3,3,2,3,3,NA,NA,NA,NA,4,3,3,4,3,4,NA,NA,NA,NA,3,3,3,5,4,2,NA,NA,NA,NA,4,3,4,2,2,3,NA,NA,NA,NA,5,3,2,7,4,5,NA,NA,NA,NA,"had known when to move on","had asked for help","had taken better notes/paid better attention the first time around","had started working on the project sooner","","","","",NA,NA,2,2,2,2,NA,NA,NA,NA,NA,NA,20,2
9,"2",7,7,7,6,4,5,6,5,7,6,7,6,6,5,6,6,1,1,5,1,5,1,5,3,2,5,1,"Seeing the bright side of everything.","Accepting everything as caused by God.","Knowing that life continues even after experiencing failure.","Having the love and support from family and friends.","Having positive self-esteem.","Not comparing myself to others.","Embracing my weaknesses.","Embracing my strength's","","",5,5,5,5,5,5,4,5,5,5,5,1,4,1,1,4,6,7,4,5,5,1,2,2,8,2,2,6,5,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,5,5,NA,NA,5,5,5,5,5,5,5,5,NA,NA,5,5,5,5,5,5,5,5,NA,NA,7,7,7,6,6,6,7,6,NA,NA,"was more positive.","accepted God's will for me.","embraced my weakness.","","","","","",NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,19,2
10,"2",2,5,5,3,7,7,5,5,3,6,7,6,5,6,6,6,2,2,4,2,2,4,4,4,4,4,2,"Studying","Embrace","Happy","","","","","","","",5,5,4,5,5,4,5,5,5,4,5,3,3,4,3,4,3,9,1,7,7,5,8,7,3,6,6,3,5,4,4,NA,NA,NA,NA,NA,NA,NA,4,5,5,NA,NA,NA,NA,NA,NA,NA,4,3,5,NA,NA,NA,NA,NA,NA,NA,4,3,5,NA,NA,NA,NA,NA,NA,NA,2,6,6,NA,NA,NA,NA,NA,NA,NA,"would have studied","paid attention in class","asked for help","","","","","",NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,22,1
