"","rfqpro1r","rfqpre1r","rfqpro2","rfqpre2r","rfqpre3","rfqpre4r","rfqpro3","rfqpre5r","rfqpro4r","rfqpro5","rfqpro6r","dircheck1","ideal","ideal.i","actual.i","idealnum","idlaspect.1.","idlaspect.2.","idlaspect.3.","idlaspect.4.","idlaspect.5.","idlaspect.6.","idlaspect.7.","idlaspect.8.","idlaspect.9.","idlaspect.10.","rfpro1ri.1.","rfpro1ri.2.","rfpro1ri.3.","rfpro1ri.4.","rfpro1ri.5.","rfpro1ri.6.","rfpro1ri.7.","rfpro1ri.8.","rfpro1ri.9.","rfpro1ri.10.","rfpre1i.1.","rfpre1i.2.","rfpre1i.3.","rfpre1i.4.","rfpre1i.5.","rfpre1i.6.","rfpre1i.7.","rfpre1i.8.","rfpre1i.9.","rfpre1i.10.","rfpro2i.1.","rfpro2i.2.","rfpro2i.3.","rfpro2i.4.","rfpro2i.5.","rfpro2i.6.","rfpro2i.7.","rfpro2i.8.","rfpro2i.9.","rfpro2i.10.","rfpre2i.1.","rfpre2i.2.","rfpre2i.3.","rfpre2i.4.","rfpre2i.5.","rfpre2i.6.","rfpre2i.7.","rfpre2i.8.","rfpre2i.9.","rfpre2i.10.","dirchecki.1.","dirchecki.2.","dirchecki.3.","dirchecki.4.","dirchecki.5.","dirchecki.6.","dirchecki.7.","dirchecki.8.","dirchecki.9.","dirchecki.10.","rfpro3i.1.","rfpro3i.2.","rfpro3i.3.","rfpro3i.4.","rfpro3i.5.","rfpro3i.6.","rfpro3i.7.","rfpro3i.8.","rfpro3i.9.","rfpro3i.10.","rfpre3i.1.","rfpre3i.2.","rfpre3i.3.","rfpre3i.4.","rfpre3i.5.","rfpre3i.6.","rfpre3i.7.","rfpre3i.8.","rfpre3i.9.","rfpre3i.10.","rfpre4ri.1.","rfpre4ri.2.","rfpre4ri.3.","rfpre4ri.4.","rfpre4ri.5.","rfpre4ri.6.","rfpre4ri.7.","rfpre4ri.8.","rfpre4ri.9.","rfpre4ri.10.","rfpro4i.1.","rfpro4i.2.","rfpro4i.3.","rfpro4i.4.","rfpro4i.5.","rfpro4i.6.","rfpro4i.7.","rfpro4i.8.","rfpro4i.9.","rfpro4i.10.","rfpro5i.1.","rfpro5i.2.","rfpro5i.3.","rfpro5i.4.","rfpro5i.5.","rfpro5i.6.","rfpro5i.7.","rfpro5i.8.","rfpro5i.9.","rfpro5i.10.","rfpre5i.1.","rfpre5i.2.","rfpre5i.3.","rfpre5i.4.","rfpre5i.5.","rfpre5i.6.","rfpre5i.7.","rfpre5i.8.","rfpre5i.9.","rfpre5i.10.","ought","ought.o","actual.o","oughtnum","ougaspect.1.","ougaspect.2.","ougaspect.3.","ougaspect.4.","ougaspect.5.","ougaspect.6.","ougaspect.7.","ougaspect.8.","ougaspect.9.","ougaspect.10.","rfpro1ro.1.","rfpro1ro.2.","rfpro1ro.3.","rfpro1ro.4.","rfpro1ro.5.","rfpro1ro.6.","rfpro1ro.7.","rfpro1ro.8.","rfpro1ro.9.","rfpro1ro.10.","rfpre1o.1.","rfpre1o.2.","rfpre1o.3.","rfpre1o.4.","rfpre1o.5.","rfpre1o.6.","rfpre1o.7.","rfpre1o.8.","rfpre1o.9.","rfpre1o.10.","rfpro2o.1.","rfpro2o.2.","rfpro2o.3.","rfpro2o.4.","rfpro2o.5.","rfpro2o.6.","rfpro2o.7.","rfpro2o.8.","rfpro2o.9.","rfpro2o.10.","rfpre2o.1.","rfpre2o.2.","rfpre2o.3.","rfpre2o.4.","rfpre2o.5.","rfpre2o.6.","rfpre2o.7.","rfpre2o.8.","rfpre2o.9.","rfpre2o.10.","rfpro3o.1.","rfpro3o.2.","rfpro3o.3.","rfpro3o.4.","rfpro3o.5.","rfpro3o.6.","rfpro3o.7.","rfpro3o.8.","rfpro3o.9.","rfpro3o.10.","rfpre3o.1.","rfpre3o.2.","rfpre3o.3.","rfpre3o.4.","rfpre3o.5.","rfpre3o.6.","rfpre3o.7.","rfpre3o.8.","rfpre3o.9.","rfpre3o.10.","rfpre4ro.1.","rfpre4ro.2.","rfpre4ro.3.","rfpre4ro.4.","rfpre4ro.5.","rfpre4ro.6.","rfpre4ro.7.","rfpre4ro.8.","rfpre4ro.9.","rfpre4ro.10.","rfpro4o.1.","rfpro4o.2.","rfpro4o.3.","rfpro4o.4.","rfpro4o.5.","rfpro4o.6.","rfpro4o.7.","rfpro4o.8.","rfpro4o.9.","rfpro4o.10.","dirchecko.1.","dirchecko.2.","dirchecko.3.","dirchecko.4.","dirchecko.5.","dirchecko.6.","dirchecko.7.","dirchecko.8.","dirchecko.9.","dirchecko.10.","rfpro5o.1.","rfpro5o.2.","rfpro5o.3.","rfpro5o.4.","rfpro5o.5.","rfpro5o.6.","rfpro5o.7.","rfpro5o.8.","rfpro5o.9.","rfpro5o.10.","rfpre5o.1.","rfpre5o.2.","rfpre5o.3.","rfpre5o.4.","rfpre5o.5.","rfpre5o.6.","rfpre5o.7.","rfpre5o.8.","rfpre5o.9.","rfpre5o.10.","gender","age"
"1",2,2,4,2,4,3,4,5,4,4,2,NA,"creative",3,2,2,"skater","adult","","","","","","","","",3,6,NA,NA,NA,NA,NA,NA,NA,NA,6,6,NA,NA,NA,NA,NA,NA,NA,NA,5,2,NA,NA,NA,NA,NA,NA,NA,NA,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,5,3,NA,NA,NA,NA,NA,NA,NA,NA,5,3,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,"driven",3,2,4,"student","family member","girlfriend","friend","","","","","","",6,5,6,3,NA,NA,NA,NA,NA,NA,6,2,6,6,NA,NA,NA,NA,NA,NA,4,5,6,4,NA,NA,NA,NA,NA,NA,5,5,6,5,NA,NA,NA,NA,NA,NA,6,5,6,5,NA,NA,NA,NA,NA,NA,5,6,4,5,NA,NA,NA,NA,NA,NA,6,6,5,2,NA,NA,NA,NA,NA,NA,5,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,3,2,NA,NA,NA,NA,NA,NA,5,6,4,4,NA,NA,NA,NA,NA,NA,2,22
"2",2,4,4,4,4,4,4,4,2,4,2,NA,"Dependable",3,3,1,"friend","","","","","","","","","",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Caring",4,3,2,"Brother","friend","","","","","","","","",3,3,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,5,4,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,1,30
"3",2,4,4,2,4,4,4,2,1,4,1,NA,"Creative",4,2,2,"employee","Hobbyist","","","","","","","","",1,3,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,4,6,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,NA,NA,NA,NA,NA,NA,NA,NA,6,2,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,7,5,NA,NA,NA,NA,NA,NA,NA,NA,3,5,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,"Hard working",4,4,2,"employee","american","","","","","","","","",1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,6,5,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,1,30
"4",1,1,5,1,5,1,5,1,1,5,1,NA,"successful",4,2,2,"mother","american","","","","","","","","",1,1,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,7,4,NA,NA,NA,NA,NA,NA,NA,NA,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,NA,NA,NA,NA,NA,NA,NA,NA,7,5,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,6,7,NA,NA,NA,NA,NA,NA,NA,NA,7,7,NA,NA,NA,NA,NA,NA,NA,NA,7,7,NA,NA,NA,NA,NA,NA,NA,NA,"career oriented",4,1,1,"me as a manager","","","","","","","","","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,26
"5",2,2,4,3,5,4,4,2,5,1,5,NA,"leadership",4,2,1,"member of the human race","","","","","","","","","",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"family oriented",4,1,1,"member of my family","","","","","","","","","",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,24
"6",2,2,3,2,2,3,3,2,3,2,2,4,"honest ",3,3,2,"hopeful?","myself","","","","","","","","",4,5,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,4,5,NA,NA,NA,NA,NA,NA,NA,NA,5,6,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,4,5,NA,NA,NA,NA,NA,NA,NA,NA,5,3,NA,NA,NA,NA,NA,NA,NA,NA,4,5,NA,NA,NA,NA,NA,NA,NA,NA,"faithful",3,3,1,"myslef","","","","","","","","","",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,25
"7",1,4,4,4,4,4,5,4,2,5,2,NA,"Provider",4,4,4,"father","husband","son","self","","","","","","",2,5,5,4,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,NA,NA,NA,NA,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,7,NA,NA,NA,NA,NA,NA,7,7,7,6,NA,NA,NA,NA,NA,NA,2,2,5,5,NA,NA,NA,NA,NA,NA,7,7,6,6,NA,NA,NA,NA,NA,NA,6,5,5,5,NA,NA,NA,NA,NA,NA,7,7,6,6,NA,NA,NA,NA,NA,NA,"responsibility",4,4,3,"father","husband","self","","","","","","","",2,5,5,NA,NA,NA,NA,NA,NA,NA,3,2,2,NA,NA,NA,NA,NA,NA,NA,6,5,5,NA,NA,NA,NA,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,6,7,7,NA,NA,NA,NA,NA,NA,NA,6,7,7,NA,NA,NA,NA,NA,NA,NA,2,2,5,NA,NA,NA,NA,NA,NA,NA,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,7,NA,NA,NA,NA,NA,NA,NA,7,7,7,NA,NA,NA,NA,NA,NA,NA,1,44
"8",4,2,4,2,4,2,4,2,2,4,2,NA,"smart",3,3,2,"working man","husband","","","","","","","","",3,3,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,"smart",3,2,2,"as an american","as a friend","","","","","","","","",3,3,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,5,3,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,1,33
"9",3,1,4,2,5,2,4,3,5,3,1,NA,"Whimsical",3,1,3,"Painter","Writer","person who plans events and trips","","","","","","","",6,3,2,NA,NA,NA,NA,NA,NA,NA,1,6,6,NA,NA,NA,NA,NA,NA,NA,6,5,5,NA,NA,NA,NA,NA,NA,NA,1,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5,5,NA,NA,NA,NA,NA,NA,NA,4,6,6,NA,NA,NA,NA,NA,NA,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,6,5,6,NA,NA,NA,NA,NA,NA,NA,7,6,6,NA,NA,NA,NA,NA,NA,NA,1,3,4,NA,NA,NA,NA,NA,NA,NA,"Resolute",4,2,5,"household manager","wife","secondary earner","employee","daughter","","","","","",6,5,5,1,4,NA,NA,NA,NA,NA,7,2,3,7,3,NA,NA,NA,NA,NA,2,6,4,5,3,NA,NA,NA,NA,NA,7,2,7,6,4,NA,NA,NA,NA,NA,2,7,1,4,5,NA,NA,NA,NA,NA,7,6,6,7,5,NA,NA,NA,NA,NA,7,1,2,2,1,NA,NA,NA,NA,NA,3,7,5,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,7,3,5,1,NA,NA,NA,NA,NA,3,3,7,6,4,NA,NA,NA,NA,NA,2,32
"10",3,2,4,2,4,3,4,4,3,2,1,NA,"Successful ",4,1,1,"me as a writer ","","","","","","","","","",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"To be responsible ",4,2,3,"A boyfriend ","A son ","As a writer  ","","","","","","","",5,7,7,NA,NA,NA,NA,NA,NA,NA,4,7,7,NA,NA,NA,NA,NA,NA,NA,6,6,7,NA,NA,NA,NA,NA,NA,NA,7,7,5,NA,NA,NA,NA,NA,NA,NA,5,5,7,NA,NA,NA,NA,NA,NA,NA,7,7,7,NA,NA,NA,NA,NA,NA,NA,5,7,4,NA,NA,NA,NA,NA,NA,NA,5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,7,NA,NA,NA,NA,NA,NA,NA,7,7,5,NA,NA,NA,NA,NA,NA,NA,1,33
